bucket_min,symbol,distance_bucket,premium_threshold_usd,n,touch_pct
5,QQQ,0.3-0.5%,1000,1518,23.517786561264824
5,QQQ,0.3-0.5%,5000,1371,24.653537563822027
5,QQQ,0.3-0.5%,25000,1007,27.507447864945384
5,QQQ,0.3-0.5%,50000,789,29.65779467680608
5,QQQ,0.3-0.5%,100000,564,31.20567375886525
5,QQQ,0.3-0.5%,250000,276,32.608695652173914
5,QQQ,0.3-0.5%,500000,98,32.6530612244898
5,QQQ,0.5-1%,1000,2927,4.133925521011275
5,QQQ,0.5-1%,5000,2004,5.139720558882235
5,QQQ,0.5-1%,25000,1000,7.7
5,QQQ,0.5-1%,50000,607,10.70840197693575
5,QQQ,0.5-1%,100000,313,13.418530351437699
5,QQQ,0.5-1%,250000,72,12.5
5,QQQ,1-1.5%,1000,1431,0.0
5,QQQ,1-1.5%,5000,627,0.0
5,QQQ,1-1.5%,25000,132,0.0
5,QQQ,1-1.5%,50000,53,0.0
5,QQQ,1-1.5%,100000,15,0.0
5,QQQ,1.5-2%,1000,644,0.0
5,QQQ,1.5-2%,5000,196,0.0
5,QQQ,1.5-2%,25000,24,0.0
5,QQQ,2-3%,1000,396,0.0
5,QQQ,2-3%,5000,47,0.0
5,QQQ,3%+,1000,197,0.0
5,SPXW,0.3-0.5%,1000,3403,11.842491918895092
5,SPXW,0.3-0.5%,5000,3194,12.366938008766438
5,SPXW,0.3-0.5%,25000,2669,13.675533907830648
5,SPXW,0.3-0.5%,50000,2318,14.452113891285592
5,SPXW,0.3-0.5%,100000,1937,15.900877645844089
5,SPXW,0.3-0.5%,250000,1197,19.799498746867165
5,SPXW,0.3-0.5%,500000,528,22.727272727272727
5,SPXW,0.3-0.5%,1000000,101,20.792079207920793
5,SPXW,0.5-1%,1000,7123,0.9125368524498104
5,SPXW,0.5-1%,5000,5467,0.9694530821291385
5,SPXW,0.5-1%,25000,3350,1.3432835820895521
5,SPXW,0.5-1%,50000,2440,1.8442622950819672
5,SPXW,0.5-1%,100000,1576,2.5380710659898478
5,SPXW,0.5-1%,250000,584,3.9383561643835616
5,SPXW,0.5-1%,500000,150,2.666666666666667
5,SPXW,0.5-1%,1000000,21,0.0
5,SPXW,1-1.5%,1000,4741,0.0
5,SPXW,1-1.5%,5000,2555,0.0
5,SPXW,1-1.5%,25000,869,0.0
5,SPXW,1-1.5%,50000,430,0.0
5,SPXW,1-1.5%,100000,163,0.0
5,SPXW,1-1.5%,250000,29,0.0
5,SPXW,1.5-2%,1000,2880,0.0
5,SPXW,1.5-2%,5000,1006,0.0
5,SPXW,1.5-2%,25000,189,0.0
5,SPXW,1.5-2%,50000,67,0.0
5,SPXW,1.5-2%,100000,12,0.0
5,SPXW,2-3%,1000,2515,0.0
5,SPXW,2-3%,5000,534,0.0
5,SPXW,2-3%,25000,44,0.0
5,SPXW,2-3%,50000,11,0.0
5,SPXW,3%+,1000,919,0.0
5,SPXW,3%+,5000,79,0.0
5,SPY,0.3-0.5%,1000,1738,10.93210586881473
5,SPY,0.3-0.5%,5000,1615,11.393188854489164
5,SPY,0.3-0.5%,25000,1186,13.322091062394604
5,SPY,0.3-0.5%,50000,913,15.553121577217963
5,SPY,0.3-0.5%,100000,605,18.016528925619834
5,SPY,0.3-0.5%,250000,251,18.725099601593627
5,SPY,0.3-0.5%,500000,80,20.0
5,SPY,0.3-0.5%,1000000,13,23.076923076923077
5,SPY,0.5-1%,1000,3369,0.9498367468091422
5,SPY,0.5-1%,5000,2443,1.146131805157593
5,SPY,0.5-1%,25000,1129,1.41718334809566
5,SPY,0.5-1%,50000,601,2.329450915141431
5,SPY,0.5-1%,100000,260,3.076923076923077
5,SPY,0.5-1%,250000,59,1.694915254237288
5,SPY,1-1.5%,1000,1623,0.0
5,SPY,1-1.5%,5000,807,0.0
5,SPY,1-1.5%,25000,184,0.0
5,SPY,1-1.5%,50000,53,0.0
5,SPY,1-1.5%,100000,14,0.0
5,SPY,1.5-2%,1000,711,0.0
5,SPY,1.5-2%,5000,255,0.0
5,SPY,1.5-2%,25000,30,0.0
5,SPY,2-3%,1000,452,0.0
5,SPY,2-3%,5000,81,0.0
5,SPY,3%+,1000,227,0.0
