bucket_min,decile,n,touch_pct,mean_minutes_to_touch,median_minutes_to_touch,median_dist_bps,median_mfe_bps,median_mae_bps,mfe_mae_ratio,mean_end_ret_bps
1,0,393,18.3206106870229,68.77777777777777,78.5,36.26524804736157,14.386333465576172,18.14396095275879,0.7928992739255609,-3.365376521428009
1,1,392,20.153061224489797,69.10126582278481,72.0,35.039250364080196,17.27758026123047,17.02398109436035,1.0148965841458863,0.1466822082091275
1,2,392,22.448979591836736,56.39772727272727,51.5,35.704755145661835,16.635445594787598,16.23801898956299,1.024475067154439,1.180521042637375
1,3,392,27.55102040816326,59.01851851851852,55.5,34.33639732262381,17.64631938934326,17.282747268676758,1.021036708748582,0.1753894572469349
1,4,393,27.480916030534353,59.879629629629626,56.5,34.8691444614429,17.3233699798584,18.25166893005371,0.9491389552510046,-0.4528079286938102
1,5,392,24.489795918367346,58.84375,54.0,34.87592666392574,18.25882053375244,18.615010261535645,0.9808654562754016,-0.42278743352341863
1,6,392,29.336734693877553,58.052173913043475,53.0,33.86936859002165,20.08720111846924,17.613542556762695,1.140440717915476,1.0931836354489228
1,7,392,23.72448979591837,54.74193548387097,55.0,33.91497702290479,18.025242805480957,20.162535667419434,0.8939968217691925,-2.4856058273616495
1,8,392,26.53061224489796,55.33653846153846,51.5,34.04419708040297,17.43742847442627,18.956315994262695,0.9198743299966021,-5.151749569542554e-05
1,9,393,21.374045801526716,58.30952380952381,55.0,33.359656035235254,17.027441024780273,19.5145206451416,0.8725523590567663,-3.4024064320378935
