underlying_symbol,n_outliers,n_wins,n_losses,n_undirected,median_premium_m,max_premium_m,ticker_family,n_directed,win_rate
SPX,892,363,427,102,8.762039999999999,602.4549999999999,spx_complex,790,0.45949367088607596
SPXW,202,96,86,20,8.171655999999999,164.9625,spx_complex,182,0.5274725274725275
SPY,139,87,51,1,0.046349999999999995,33.942132,index_etf,138,0.6304347826086957
QQQ,37,20,17,0,0.06164,49.367999999999995,index_etf,37,0.5405405405405406
TSLA,17,7,9,1,7.614599999999999,19.88,single_name,16,0.4375
NVDA,13,2,6,5,8.84,13.277,single_name,8,0.25
MSFT,10,3,7,0,11.4618,38.205999999999996,single_name,10,0.3
AMD,9,3,5,1,6.2997,11.07392,single_name,8,0.375
MSTR,8,4,4,0,10.526817,22.919999999999998,single_name,8,0.5
TSM,6,6,0,0,7.4541325,10.7964,single_name,6,1.0
COIN,6,3,2,1,16.01405,23.666453999999998,single_name,5,0.6
HOOD,6,3,3,0,6.507999999999999,8.148,single_name,6,0.5
MU,5,1,4,0,17.6095,38.715135,single_name,5,0.2
META,5,4,1,0,5.7749999999999995,9.7875,single_name,5,0.8
AMZN,4,2,2,0,6.30385,7.2627,single_name,4,0.5
RUT,4,4,0,0,15.26125,45.7575,index_etf,4,1.0
CDNS,3,2,1,0,12.25,14.202,single_name,3,0.6666666666666666
IWM,3,1,0,2,9.299999999999999,25.215,index_etf,1,1.0
GOOGL,2,1,1,0,8.063849999999999,9.719999999999999,single_name,2,0.5
ARM,2,1,1,0,8.14814,8.47189,single_name,2,0.5
NFLX,2,2,0,0,22.850180999999996,39.874697999999995,single_name,2,1.0
GOOG,1,1,0,0,12.41,12.41,single_name,1,1.0
VSAT,1,0,1,0,43.85617,43.85617,single_name,1,0.0
AAPL,1,0,1,0,5.185079,5.185079,single_name,1,0.0
RUTW,1,1,0,0,9.822,9.822,index_etf,1,1.0
ON,1,0,1,0,5.137919999999999,5.137919999999999,single_name,1,0.0
HIMS,1,0,1,0,5.578202999999999,5.578202999999999,single_name,1,0.0
USO,1,1,0,0,50.849999999999994,50.849999999999994,single_name,1,1.0
SLV,1,0,0,1,6.17,6.17,single_name,0,
MPWR,1,1,0,0,5.424379999999999,5.424379999999999,single_name,1,1.0
SNDK,1,0,1,0,65.2,65.2,single_name,1,0.0
ARKK,1,0,1,0,6.6811,6.6811,single_name,1,0.0
PLTR,1,0,1,0,6.826499999999999,6.826499999999999,single_name,1,0.0
