underlying_symbol,signed_direction,n,n_wins,win_rate
AMD,bearish_call_sell,5,0,0.0
AMD,bullish_call_buy,3,3,1.0
AMD,undirected,1,0,
MSFT,bearish_call_sell,8,2,0.25
MSFT,bullish_call_buy,2,1,0.5
MSTR,bullish_call_buy,4,4,1.0
MSTR,bearish_call_sell,4,0,0.0
NVDA,bearish_call_sell,5,0,0.0
NVDA,undirected,5,0,
NVDA,bullish_call_buy,2,2,1.0
NVDA,bearish_put_buy,1,0,0.0
QQQ,bullish_call_buy,15,10,0.6666666666666666
QQQ,bearish_put_buy,10,8,0.8
QQQ,bullish_put_sell,7,1,0.14285714285714285
QQQ,bearish_call_sell,5,1,0.2
SPX,bearish_call_sell,272,98,0.362962962962963
SPX,bullish_call_buy,233,147,0.630901287553648
SPX,bearish_put_buy,145,58,0.4
SPX,bullish_put_sell,142,60,0.4225352112676056
SPX,undirected,100,0,
SPXW,bearish_call_sell,89,46,0.5227272727272727
SPXW,bullish_call_buy,54,27,0.5
SPXW,bearish_put_buy,23,17,0.7391304347826086
SPXW,undirected,19,0,
SPXW,bullish_put_sell,17,6,0.35294117647058826
SPY,bullish_call_buy,57,50,0.8771929824561403
SPY,bearish_put_buy,34,27,0.7941176470588235
SPY,bullish_put_sell,25,5,0.2
SPY,bearish_call_sell,22,5,0.22727272727272727
SPY,undirected,1,0,
TSLA,bearish_call_sell,9,1,0.1111111111111111
TSLA,bullish_call_buy,7,6,0.8571428571428571
TSLA,undirected,1,0,
TSM,bullish_put_sell,5,5,1.0
TSM,bearish_call_sell,1,1,1.0
